IDSBR,Status
3659369,Berhasil
3661489,Berhasil
3665124,Berhasil
3666575,Berhasil
3670798,Berhasil
3673867,Berhasil
3686199,Berhasil
3686355,Gagal - PCL nan tidak ada
3690116,Berhasil
3690209,Berhasil
3693495,Berhasil
3700915,Berhasil
3706303,Berhasil
3706306,Berhasil
3709049,Gagal - PCL nan tidak ada
3713605,Berhasil
3714849,Berhasil
3719444,Berhasil
3723277,Berhasil
3724846,Berhasil
3725277,Berhasil
3725464,Berhasil
3727072,Berhasil
3727347,Berhasil
3728142,Berhasil
3728163,Berhasil
3729551,Berhasil
3731962,Berhasil
3733467,Berhasil
3733999,Berhasil
3736119,Berhasil
3736762,Berhasil
3739360,Berhasil
3745770,Berhasil
3759106,Gagal - PCL nan tidak ada
3759621,Berhasil
3759916,Berhasil
3763401,Berhasil
3763418,Berhasil
3765724,Berhasil
3766684,Berhasil
3769387,Berhasil
3770125,Berhasil
3773561,Berhasil
3775110,Berhasil
3775553,Berhasil
3776503,Berhasil
3776940,Berhasil
3782992,Berhasil
3784578,Berhasil
3790145,Berhasil
3790625,Berhasil
3793020,Berhasil
3794548,Berhasil
3797004,Berhasil
3802913,Berhasil
3804687,Berhasil
3810433,Berhasil
3811903,Berhasil
3816370,Gagal - PCL nan tidak ada
3817620,Berhasil
3817785,Berhasil
3818736,Berhasil
3820403,Berhasil
3824448,Berhasil
3824549,Berhasil
3826503,Berhasil
3826574,Berhasil
3832620,Berhasil
3832643,Berhasil
3834708,Berhasil
3837890,Berhasil
3838220,Berhasil
3838455,Berhasil
3850827,Gagal - PCL nan tidak ada
3851455,Berhasil
3851519,Berhasil
3856224,Berhasil
3859356,Berhasil
3859544,Berhasil
3859996,Berhasil
3860560,Berhasil
3860899,Berhasil
3862340,Berhasil
3863085,Berhasil
3863827,Berhasil
3865367,Berhasil
3867527,Gagal - PCL nan tidak ada
3869653,Berhasil
3870021,Berhasil
3870035,Berhasil
3870864,Berhasil
3871939,Gagal - PCL nan tidak ada
3871962,Berhasil
3874392,Berhasil
3875971,Gagal - PCL nan tidak ada
3880906,Berhasil
3881663,Berhasil
3884678,Berhasil
3885922,Berhasil
3886543,Berhasil
3887375,Berhasil
3889051,Berhasil
3897281,Berhasil
3897285,Berhasil
3902361,Berhasil
3907833,Gagal - PCL nan tidak ada
3908470,Berhasil
3908780,Berhasil
3910364,Berhasil
3912402,Berhasil
3913601,Berhasil
3915368,Berhasil
3918413,Berhasil
3918829,Gagal - PCL nan tidak ada
3922689,Berhasil
3923663,Berhasil
3925769,Berhasil
3926151,Berhasil
3926331,Berhasil
3926462,Berhasil
3927165,Berhasil
3929547,Berhasil
3933992,Berhasil
3937123,Berhasil
3937531,Berhasil
3937554,Berhasil
3938520,Berhasil
3941704,Berhasil
3943403,Berhasil
3946029,Berhasil
3946920,Berhasil
3948836,Berhasil
3950254,Berhasil
3950807,Berhasil
3951782,Berhasil
3956631,Berhasil
3959138,Berhasil
3961868,Berhasil
3964910,Berhasil
3965495,Berhasil
3969130,Berhasil
3970877,Berhasil
3971496,Berhasil
3973532,Berhasil
3974893,Berhasil
3984284,Berhasil
3986261,Berhasil
3986301,Berhasil
3986305,Berhasil
3986518,Berhasil
3986621,Berhasil
3991509,Berhasil
3992036,Berhasil
3992466,Berhasil
3996459,Berhasil
3996628,Berhasil
3997690,Berhasil
3999212,Berhasil
4001917,Berhasil
4003106,Berhasil
4009082,Berhasil
4010879,Berhasil
4011632,Berhasil
4016255,Berhasil
4019307,Berhasil
4019323,Berhasil
4019504,Berhasil
4019529,Berhasil
4027657,Berhasil
4028830,Berhasil
4030523,Berhasil
4032704,Berhasil
4032761,Berhasil
4052057,Berhasil
4062767,Berhasil
4066725,Berhasil
4068270,Berhasil
4074961,Berhasil
4076285,Berhasil
4084546,Berhasil
4086032,Berhasil
4086536,Berhasil
4087025,Berhasil
4087432,Berhasil
4088001,Berhasil
4088843,Berhasil
4107983,Berhasil
4117709,Berhasil
4117895,Berhasil
4120369,Berhasil
4121695,Berhasil
4122117,Berhasil
4122180,Berhasil
4122526,Berhasil
4122982,Berhasil
4123299,Berhasil
4125628,Berhasil
4126161,Berhasil
4126531,Berhasil
4126534,Berhasil
4128838,Berhasil
4129263,Berhasil
4129729,Berhasil
4130130,Berhasil
4130481,Berhasil
4130576,Berhasil
4132079,Berhasil
4142520,Berhasil
4145457,Berhasil
4145507,Berhasil
4147218,Berhasil
4148333,Berhasil
4152553,Berhasil
4152592,Berhasil
4157533,Berhasil
4160586,Berhasil
4164035,Berhasil
4164579,Berhasil
4165737,Berhasil
4166556,Berhasil
4167514,Berhasil
4169079,Berhasil
4169162,Berhasil
4173538,Berhasil
4174628,Berhasil
4176223,Gagal - PCL nan tidak ada
4178137,Berhasil
4179617,Berhasil
4187275,Berhasil
4190155,Berhasil
4192049,Berhasil
4192884,Berhasil
4193764,Berhasil
4193807,Berhasil
4195628,Berhasil
4202309,Berhasil
4202431,Berhasil
4202476,Berhasil
4205133,Berhasil
4205260,Berhasil
4213067,Berhasil
4214300,Berhasil
4215520,Berhasil
4217591,Berhasil
4223180,Berhasil
4226184,Berhasil
4228084,Berhasil
4228511,Berhasil
4237441,Berhasil
4247102,Berhasil
4247715,Gagal - PCL nan tidak ada
4250653,Berhasil
4251294,Berhasil
4255972,Berhasil
4256167,Berhasil
4266367,Berhasil
4267542,Berhasil
4267767,Berhasil
4267867,Berhasil
4268275,Berhasil
4277875,Berhasil
4285754,Berhasil
4292492,Berhasil
4294369,Berhasil
4296980,Berhasil
4297606,Berhasil
4303018,Berhasil
4307238,Berhasil
4310690,Berhasil
4315637,Berhasil
4317332,Berhasil
4319347,Berhasil
4319923,Berhasil
4321920,Berhasil
4325955,Berhasil
4326347,Berhasil
4327749,Berhasil
4336681,Berhasil
4336703,Berhasil
4337026,Berhasil
4346359,Berhasil
4347768,Berhasil
4350000,Berhasil
4350440,Berhasil
4351096,Berhasil
4352459,Berhasil
4355645,Berhasil
4363509,Berhasil
4367813,Berhasil
4368716,Gagal - PCL nan tidak ada
4371977,Berhasil
4373702,Berhasil
4377904,Berhasil
4383650,Berhasil
4394142,Berhasil
4395141,Berhasil
4396788,Berhasil
4400158,Berhasil
4405975,Berhasil
4411672,Berhasil
4417236,Berhasil
4417853,Berhasil
4418384,Berhasil
4421858,Berhasil
4423794,Berhasil
4427943,Berhasil
4428680,Berhasil
4429471,Berhasil
4430230,Berhasil
4430629,Berhasil
4431457,Berhasil
4432239,Berhasil
4433121,Berhasil
4433841,Berhasil
4434686,Berhasil
4438449,Berhasil
4439020,Berhasil
4440307,Berhasil
4441511,Berhasil
4441658,Berhasil
4443599,Berhasil
4446572,Berhasil
4447645,Berhasil
4449083,Berhasil
4449696,Berhasil
4452535,Berhasil
4453630,Berhasil
4453851,Berhasil
4460850,Berhasil
4462734,Berhasil
4463803,Berhasil
4464152,Berhasil
4464449,Berhasil
4464763,Berhasil
4468249,Berhasil
4471781,Berhasil
4472164,Berhasil
4473218,Berhasil
4475419,Berhasil
4476913,Berhasil
4478591,Berhasil
4482163,Berhasil
4487501,Berhasil
4488379,Berhasil
4489552,Berhasil
4493706,Berhasil
4494093,Berhasil
4494488,Berhasil
4495893,Berhasil
4498142,Berhasil
4501305,Berhasil
4503994,Berhasil
4504276,Berhasil
4506512,Berhasil
4507158,Berhasil
4512006,Berhasil
4513182,Berhasil
4513898,Berhasil
4521145,Berhasil
4523679,Berhasil
4525505,Berhasil
4533698,Berhasil
4534430,Berhasil
4535873,Berhasil
4535949,Berhasil
4536248,Berhasil
4536700,Berhasil
4536861,Berhasil
4537621,Berhasil
4538631,Berhasil
4544016,Berhasil
4544059,Berhasil
4544807,Berhasil
4545383,Berhasil
4546921,Berhasil
4546949,Berhasil
4547788,Berhasil
4549988,Berhasil
4556016,Berhasil
4556023,Berhasil
4558416,Berhasil
4560499,Berhasil
4561263,Berhasil
4565253,Berhasil
4567298,Berhasil
4571097,Berhasil
4577926,Berhasil
4578811,Berhasil
4579691,Berhasil
4580867,Berhasil
4589657,Gagal - PCL nan tidak ada
4596610,Berhasil
4702282,Berhasil
4702283,Berhasil
4702284,Berhasil
4702285,Gagal - PCL nan tidak ada
4707589,Berhasil
4707632,Berhasil
4707916,Berhasil
4708320,Berhasil
4709171,Berhasil
47602,Berhasil
47605,Berhasil
47814,Berhasil
48199,Berhasil
48228,Berhasil
48293,Gagal - PCL nan tidak ada
48356,Berhasil
48516,Berhasil
48521,Berhasil
48530,Berhasil
48630,Berhasil
48681,Berhasil
48751,Berhasil
49030,Berhasil
6088721,Berhasil
6116818,Berhasil
6196443,Berhasil
6196507,Berhasil
